kode_spec;nama_perangkat
B2WN02310416;CISCO 3945 W/SPE150(3GE,4EHWIC,4DSP,4SM,256MBCF,1GBDRAM,IPB) ( PN - CISCO3945/K9 ) ( PN - CISCO3945/K9 )
B3CD0400030J;EATON ACCESS POWER RECTIFIER MODULE 48VDC
B2WN01000425;PASSIVE SPLITTER 2:32, SC/APC, INSTALLED IN RNOTP BOX, COMPLETE ACCESSORIES ( PN - )
B2WN0100041Z;SPLITTER 2:8 INC BOX
B2WN0286794M;BOX ODP 32 Port Lup Pigtail SC APC
B3CD102D0102;INVERTER ICA 3 KVA 48VDC
B3TM0100000Y;SPLITTER BOX ODP 24 CORE TYPE LC/APC ( PN - )
B1AC01000701;PC-MONITOR LCD 17 INCH
B1AC0100010Q;MONITOR HP V194 18.5-IN MNT
B4RT0B870104;VSX 3000 IP-ONLY SYSTEM (PAL)
B2WN0131042B;CISCO 881-K9
B3CD0400030I;SUBRACK
B3CD0100212M;UPS 1KVA with IT incl SNMP
B3CD012F0301;UPS INCLUDE INTERNAL IT TRANSFORMER 1 KVA ( PN - )
B3CD115R0102;ISOLATION TRANSFORMER 3 KVA
B3CD115R0105;ISOLATION TRANSFORMER (IT) 600VA ( PN - )
B3CD01000203;UPS 1 KVA INCLUDE IT TRANSFORMER
B3CD06000108;STABILIZER 1000 VA 220 V 1PH/50HZ
B3CD01000202;UPS 1 KVA
B3CD012F0103;UPS LAPLACE 3 KVA
USSP06AP0101;USO-ISOLATION TRANSFORMER (IT) 600VA ( PN - )
B3CD115R0101;ISOLATION TRANSFORMER (IT-1000)
B1WS014E020G;CPU DELL OPTIPLEX 330 MT
B1SV0100001A;PC DESKTOP ( PN - )
B1WS014E020E;CPU DELL OPTIPLEX 320DT
B1WS012X0105;CPU-HP 3340MT
B4PK0G000101;MESIN ABSENSI
B4PK09000104;BARCODE PRINTER KECIL 118 MM
B4PK0G000102;MESIN PRINTER ABSENSI
B2WS023A0106;IDU XPAND SDH+IP WITH 16E1 NERA ( PN - )
B1SV0100009M;PowerEdge R740 Server
B1LT0000000C;NOTEBOOK CORE 2 DUO PROCESSOR
B2WN01AH0201;RAISECOM 3U, 16-SLOT CHASSIS, WITH TWO DC POWER SUPPLY MODULES
B3CD0400030N;RECTIFIER 220 VAC TO 48 VDC, 8A ( PN - )
B2WN0286987M;SFP 1G-SINGLESTRAIN 40KM (Tx-1310 / Rx-1550) (Brand : Atop)
B2WSBKA0139M;Adapter 12V, 1.5A for BIVOCOM
B2WN0286956M;SFP+ 10G 1550nm 40KM
B2WN0286985M;SFP 1G-SINGLESTRAIN 40KM (Tx-1550 / Rx-1310) (Brand : Atop)
B2WN0286825M;SFP+ 10G 850nm 300M LC
B2WN0286499M;AC Power Adaptor for FG/FWF 60E/61E, 60F/61F, and 80E/81E
B2WN0202011J;RAISECOM DEMARCATION OAM, 4GE RJ45 + 2*GE SFP, AC ( PN - RC551E-4GE-AC )
B2WN01AH0109;FIBER DRIVER RAISECOM MODULE V35 RC832-30-FV35-SS13
B2WN0286208M;PSU FORTI FG-50E/FG-30E
B2WN0287028M;SFP 1.25G 1310nm 10KM DDM LC
B2WN0286405M;AC POWER SUPPLY FOR RAX711-C-R SERIES
B2WN0286944M;10GBASE ZR SFP+ 1550nm 80km Huawei & Edge-Core Compatible
B2WN00A0293M;CARD ISCOM6820-SMUB - Uplink MCC one 100GE (QSFP28) and two 1/10GE (SFP+)
B2WN0287057M;SFP+ 10G-SINGLESTRAIN 20KM (Tx-1270 / Rx-1330) (brand: FS/Qonitech/Atop/3Tech/6Com)
B3CD0400030P;RECTIFIER 220 VAC TO 48 VDC, 10A
B2WN0286209M;Mikrotik CCR1036-12G-4S
B2WN0231043F;CISCO CATALYST 2960C 12-PORT FAST ETHERNET SWITCH
B2WN0286700M;POWER AC ISCOM5600
B2WN0286863M;SFP 1G-SINGLESTRAIN 20KM (Tx-1310 / Rx-1550) (brand: FS/Qonitech/Atop/3Tech/6Com)
B2WN0100046Y;PSU FOR RIVERBED STEELCONNECT
B9DM0004337M;Pengadaan Reiwa AC Window 1/2 PK CW-0501RA ODC Brumbung FRANCO SEMARANG
B2WN0286010O;TA5000 FAN MOD 19IN CHASSIS
B2WN0287105M;AC POWER SUPPLY FOR RAX721-C-6C48
B2WN0286740M;FS compatible for Edge-Core 10GBASE-SR SFP+ 850NM 300M DOM TRANSCEIVER MODULE
B2WN0286873M;Power Supply o/p 24VDC - 1,2A
B2WN0286734M;FS compatible for Edge-Core 100GBASE-LR4 QSFP28 1310NM 10KM DOM LC SMF OPTICAL TRANSCEIVER MODULE
B3CD07A0007M;POWER MODULE DPR 850B-48
B2WN0202012T;SWITCH ISCOM 2624G 4C, AC POWER
B2WS020O0110;PSU REMOTE 7000 SERIES -IDU- C-BAND HUGHES ( PN - 1031105-0001 )
B2WS020O011G;PSU MODEM HT 1300
B2WS02A70202;PSU FOR EVOLUTION X3 SATELITE ROUTER ( PN - )
B2WS020Y0102;SAS, UNIVERSAL POWER SUPPLY 115/220 VAC
B2WS020Y0106;POWER SUPPLY UNIT TYPE TRG-70A-480-12E03
B2WS0200022M;PSU FOR X1-KU/C 90W SATELITE ROUTER
B2WN0150172M;PSU for WANO SDW-W4000
B2WN0150042M;RAISECOM GE SFP LX SINGLE STRAIN TX 1310NM RX 1550NM 15KM
B2WN0286855M;Power supply
B3CD0400031M;SC200 SYSTEM CONTROLLER
B2WN0286306M;Power Supply 66 Watt AC V2 for C890 and C1100 series
B2WN0287068M;NetEngine 8000 M1A Basic Configuration(Includes M1A Chassis, Fixed Interface(16*10GE+16*GE),2*DC Power,without Software and Docu
B4RT0B87074M;TV Samsung, Kabel HDMI 2 Meter & Wall Bracket TV - SmartTV 50'' Crystal UHD DU7000 4K Smart TV
B2WN00A0016M;Optical Transceiver(SFP+,1550nm,9.95~11.1Gb/s,-4.7~4dBm,-14.1dBm,LC,SM,40km)
B2WN0286871M;Customized 25GBASE-LR SFP28 1310nm 10km DOM Duplex LC SMF Optical Transceiver Module Device Number:Edge-Core Compatible Brands:O
B2WN0286876M;Customized 25G SFP28 1310nm 40km DOM Duplex LC SMF Optical Transceiver Module Device Number:Edge-Core Compatible Brands:Others L
B2WN13A0089M;400GBPS QSFP-DD,  ER
B2WN00A0149M;QSFP28 100G 1295~1310nm 40KM LC
B2WN00A0004M;6C-QSFP+-ER4 40G  1270~1330nm 40KM (brand : 6Com)
B2WN13A0090M;400G QSFP-DD Transceiver,400G-FR4,Duplex LC,2km Duplex SMF
B2WN00A0014M;Optical Transceiver(eSFP,1310nm,1.25Gb/s,-5~0dBm,-23dBm,LC,SM,40km)
B2WN00A0012M;Optical Transceiver(SFP+,1550nm,9.953~10.3125Gb/s,0~4dBm,-24dBm,LC,SM,80km)
B2WS00A0001M;Modem ORBIT STAR 3 UNLOCK
B2WN0287059M;BIDI SFP+ TX1330nm 40KM
B2WN0287058M;BIDI SFP+ TX1270nm 40KM
B2WS0138110M;Sensor Elevasi dan Azimuth
B2WS0138161M;Standard V4
B2WN00A0559M;AC power adapter Versa CSG150 Series
B2WN0287166M;"H3C S9850-32H L3 Ethernet Switch with 32 QSFP28 Ports;  2 * 650W AC Power Supply Module (Power Panel Side Intake Airflow);  5 * "
B2WN0286673M;The SUNDRAY V-Sec Switch, provides 28 ports(24 10/100/1000Base-T POE ports, 4 10G SFP+ optical ports). Support IEEE 802.3af/at p
