kode_id;nama;noreg
A0693B;ADAPTER 12V, 1.5A FOR BIVOCOM;B2WS0200138MA0693B
A0549B;Adapter ISCOM6108-XGS  Output 12V:3A 36.0 Watt;B2WN00A0322MA0549B
A0123B;Adapter VeloCloud Edge 510;B2WN0286917MA0123B
A0053;Tabletop,  with fan NCA-1515B-4C-8D-64S;B2WN0286830MA0053
A0633;Bivocom TG451-LY5DM-W Industrial 4G Router;B2WS0200137MA0633
A0885;Bivocom TG451-LY5DM-W Industrial 4G Router;B2WS0200137MA0885
A0735;Huawei B312 Modem Router Wifi (Include antenna 8db);B2WN0150205MA0735
A0513;ISCOM6108-XGS: XGS-PON metal shell MDU, user side interface is 1*2.5GE+7*GE+1*10GF, external European power adapter, PON optical;B2WN0150268MA0513
A0512;ISCOM6108-XGS: XGS-PON metal shell MDU, user side interface is 1*2.5GE+7*GE+1*10GF, external European power adapter, PON optical;B2WN0150268MA0512
A0149B;ADAPTOR 12V 1A;B2WN0150153MA0149B
A0108;Power Adapter NCA-1515B 12V=5A;B2WN0286829MA0108
A0731;Huawei B312 Modem Router Wifi (Include antenna 8db);B2WN0150205MA0731
A0237;Mandiri - Branches - VC-510 - Edge 510 Appliance ;B2WN0286916MA0237
A0762B;ADAPTER 12V, 1.5A FOR BIVOCOM;B2WS0200138MA0762B
A0486B;GSFP+-XSNU-R  XGS-PON-ONU optical module;B2WN00A0321MA0486B
A0807;Bivocom TG451-LY5DM-W Industrial 4G Router;B2WS0200137MA0807
A0010B;ADAPTOR 12V 1A;B2WN0150153MA0010B
A1200B;ADAPTER 12V, 1.5A FOR BIVOCOM;B2WS0200138MA1200B
A0073B;Power suply MODEM ORBIT ZTE ;B3CD0100238MA0073B
A0458B;GSFP+-XSNU-R  XGS-PON-ONU optical module;B2WN00A0321MA0458B
A0180B;Adapter VeloCloud Edge 510;B2WN0286917MA0180B
A0486B;ADAPTER 12V, 1.5A FOR BIVOCOM;B2WS0200138MA0486B
A1425;Bivocom TG451-LY5DM-W Industrial 4G Router;B2WS0200137MA1425
A0548B;Adapter ISCOM6108-XGS  Output 12V:3A 36.0 Watt;B2WN00A0322MA0548B
A0544B;GSFP+-XSNU-R  XGS-PON-ONU optical module;B2WN00A0321MA0544B
A0087;Tabletop,  with fan NCA-1515B-4C-8D-64S;B2WN0286830MA0087
A1292B;ADAPTER 12V, 1.5A FOR BIVOCOM;B2WS0200138MA1292B
A0403;Versa Certified Hardware (Lanner NCA-1515B) Tabletop, with fanNCA-1515B-4C-8D-64S;B2WN0286830MA0403
A1013;Bivocom TG451-LY5DM-W Industrial 4G Router;B2WS0200137MA1013
A0082;Tabletop,  with fan NCA-1515B-4C-8D-64S;B2WN0286830MA0082
A0096B;Power suply MODEM ORBIT ZTE ;B3CD0100238MA0096B
A0741;Huawei B312 Modem Router Wifi (Include antenna 8db);B2WN0150205MA0741
A0545;ISCOM6108-XGS: XGS-PON metal shell MDU, user side interface is 1*2.5GE+7*GE+1*10GF, external European power adapter, PON optical;B2WN0150268MA0545
A0049B;Power suply MODEM ORBIT ZTE ;B3CD0100238MA0049B
A0413;ISCOM6108-XGS: XGS-PON metal shell MDU, user side interface is 1*2.5GE+7*GE+1*10GF, external European power adapter, PON optical;B2WN0150268MA0413
A0880B;ADAPTER 12V, 1.5A FOR BIVOCOM;B2WS0200138MA0880B
A0570B;ADAPTER 12V, 1.5A FOR BIVOCOM;B2WS0200138MA0570B
A0052;Power Adapter NCA-1515B 12V=5A;B2WN0286829MA0052
A0134B;ADAPTER 12V, 1.5A FOR BIVOCOM;B2WS0200138MA0134B
A0165B;Adapter VeloCloud Edge 510;B2WN0286917MA0165B
A0216;Mandiri - Branches - VC-510 - Edge 510 Appliance ;B2WN0286916MA0216
A0718B;ADAPTER 12V, 1.5A FOR BIVOCOM;B2WS0200138MA0718B
A0517B;Adapter ISCOM6108-XGS  Output 12V:3A 36.0 Watt;B2WN00A0322MA0517B
A0225;Mandiri - Branches - VC-510 - Edge 510 Appliance ;B2WN0286916MA0225
A1471;Bivocom TG451-LY5DM-W Industrial 4G Router;B2WS0200137MA1471
A0514B;Adapter ISCOM6108-XGS  Output 12V:3A 36.0 Watt;B2WN00A0322MA0514B
A0547;ISCOM6108-XGS: XGS-PON metal shell MDU, user side interface is 1*2.5GE+7*GE+1*10GF, external European power adapter, PON optical;B2WN0150268MA0547
A0815;Huawei B312 Modem Router Wifi (Include antenna 8db);B2WN0150205MA0815
A0312B;GSFP+-XSNU-R  XGS-PON-ONU optical module;B2WN00A0321MA0312B
A0064;Power Adapter NCA-1515B 12V=5A;B2WN0286829MA0064
A1035;Bivocom TG451-LY5DM-W Industrial 4G Router;B2WS0200137MA1035
A0770;Bivocom TG451-LY5DM-W Industrial 4G Router;B2WS0200137MA0770
A0534B;GSFP+-XSNU-R  XGS-PON-ONU optical module;B2WN00A0321MA0534B
A0451B;Adapter ISCOM6108-XGS  Output 12V:3A 36.0 Watt;B2WN00A0322MA0451B
A0050B;ADAPTOR 12V 1A;B2WN0150153MA0050B
A0026B;ADAPTOR 12V 1A;B2WN0150153MA0026B
A0048B;Power suply MODEM ORBIT ZTE ;B3CD0100238MA0048B
A1222;Bivocom TG451-LY5DM-W Industrial 4G Router;B2WS0200137MA1222
A0010;MIKROTIK CRS328-24P-4S+RM;B2WN0286509MA0010
A0334;4 x GE RJ45 ports (including 3 x Internal Ports, 1 x WAN Ports);B2WN00A0392MA0334
A0056;Router Huawei B315;B2WS05A0001MA0056
A0092;Mikrotik LtAP mini LTE kit - RB912R-2nD-LTm&R11e-LTE;B2WN0286290MA0092
00079;ROUTER MIKROTIK CCR1009-8G-1S-1S+;B2WS028N011200079
A0406;HUAAWEI Router B311As + Antena;B2WN0150152MA0406
A0065;Router Mikrotik RB1100AHX4;B2WN0286595MA0065
A0845;MIKROTIK RB951UI-2HND ( PN - ) ( PN - );B2WS028N0113A0845
A0252;HUAAWEI Router B311As + Antena;B2WN0150152MA0252
A0636;Huawei B312 Modem Router Wifi (Include antenna 8db) ;B2WN0150205MA0636
00138;ROUTERBOARD MIKROTIK ( PN - );B2WS028N010B00138
A0160;4 x GE RJ45 ports (including 3 x Internal Ports, 1 x WAN Ports);B2WN00A0392MA0160
